2026-08-05 11:48:02.819 [INFO] Temp file cleanup script started.
2026-08-05 11:48:02.819 [INFO] Mode: DryRun
2026-08-05 11:48:02.819 [INFO] DaysOld cutoff: 0
2026-08-05 11:48:02.819 [INFO] Target paths: C:\Users\labuser\AppData\Local\Temp, C:\Windows\Temp
2026-08-05 11:48:02.834 [INFO] Log file: C:\Users\labuser\Documents\training\Day3\TempCleanupLogs\TempCleanup_20260805_114802819.log
2026-08-05 11:48:02.834 [INFO] Scanning path: C:\Users\labuser\AppData\Local\Temp
2026-08-05 11:48:02.834 [INFO] [DRY-RUN] Would delete: C:\Users\labuser\AppData\Local\Temp\2\9f173971-9d5f-4d28-9cca-ab736e6a8032.tmp
2026-08-05 11:48:02.834 [INFO] [DRY-RUN] Would delete: C:\Users\labuser\AppData\Local\Temp\2\exthost-75b90d.cpuprofile
2026-08-05 11:48:02.834 [INFO] [DRY-RUN] Would delete: C:\Users\labuser\AppData\Local\Temp\2\f96a9679-b084-4717-a8c4-0a7632915fa2.tmp
2026-08-05 11:48:02.834 [INFO] [DRY-RUN] Would delete: C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat
2026-08-05 11:48:02.850 [INFO] [DRY-RUN] Would delete: C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\__init__.py
2026-08-05 11:48:02.850 [INFO] Scanning path: C:\Windows\Temp
2026-08-05 11:48:02.850 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\bb3a785178f443fda931098a5a9a306b.db.ses
2026-08-05 11:48:02.866 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\MpCmdRun.log
2026-08-05 11:48:02.866 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\MpSigStub.log
2026-08-05 11:48:02.866 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\silconfig.log
2026-08-05 11:48:02.866 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\_env.cmd
2026-08-05 11:48:02.866 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\activitywatch\0.13.2\activitywatch-v0.13.2-windows-x86_64.zip
2026-08-05 11:48:02.866 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\chocolatey.nuspec
2026-08-05 11:48:02.866 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\chocolatey.zip
2026-08-05 11:48:02.881 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\[Content_Types].xml
